,Furnished_Type,Tenants_Preferred,Sqft,Property_type,BHK,Location,Floor,Area_type,Facing,Balcony,Overlooking,Availability,Bathroom,Monthly_Charges,car_parking
0,Semi-Furnished,Bachelors/Family,1318,Apartment,3,Masjid Banda,1,Carpet Area,West,2,Main Road,Immediately,3,18000.0,1
1,Unfurnished,Family,1280,Apartment,2,Hitech City,15,Carpet Area,East,1,Garden/Park,Immediately,2,39500.0,0
2,Semi-Furnished,Family,1135,Apartment,2,Kukatpally,1,Super Area,South-East,2,Unknown,Immediately,2,23000.0,1
3,Semi-Furnished,Family,1585,Apartment,2,Financial District,9,Carpet Area,West,2,Garden/Park,Immediately,2,35000.0,2
4,Semi-Furnished,Bachelors/Family,4541,Villa,4,Gachibowli Phase 3,0,Carpet Area,North-East,2,Garden/Park,Immediately,4,200000.0,2
5,Unfurnished,Bachelors/Family,1345,Apartment,3,Narsingi,3,Carpet Area,North-East,1,Garden/Park,Immediately,2,25000.0,1
6,Semi-Furnished,Bachelors,900,Apartment,2,Hitech City,8,Carpet Area,East,1,Main Road,Immediately,2,25000.0,0
7,Furnished,Bachelors,1650,Penthouse,2,Banjara Hills,5,Carpet Area,East,2,Garden/Park,Immediately,3,60000.0,0
8,Semi-Furnished,Bachelors,1413,Apartment,3,Appa junction,18,Carpet Area,West,1,Main Road,Immediately,3,23000.0,0
9,Unfurnished,Bachelors/Family,1750,Villa,4,Shamshabad,0,Carpet Area,East,1,Main Road,Immediately,3,20000.0,1
10,Unfurnished,Bachelors/Family,160,Villa,4,Narsingi,0,Carpet Area,East,3,Main Road,Immediately,4,70000.0,2
11,Semi-Furnished,Bachelors/Family,1100,Apartment,3,Shaikpet,4,Super Area,Unknown,0,Unknown,Immediately,2,19000.0,1
12,Semi-Furnished,Family,1530,Apartment,3,Sri Nagar Colony,2,Super Area,North,2,Unknown,Immediately,2,25000.0,1
13,Unfurnished,Bachelors/Family,1625,Apartment,3,Raghavendra Nagar,5,Super Area,Unknown,1,Unknown,Immediately,3,30000.0,0
14,Furnished,Bachelors,1000,Apartment,2,Madinaguda,3,Carpet Area,East,2,Unknown,Immediately,2,17000.0,1
15,Unfurnished,Bachelors,1259,Apartment,2,Nizampet,5,Super Area,East,1,Garden/Park,From Apr '22,2,17000.0,1
16,Semi-Furnished,Bachelors/Family,800,House,1,Gandhinagar-Indira Park Road,4,Carpet Area,West,0,Garden/Park,Immediately,1,10000.0,0
17,Semi-Furnished,Bachelors/Family,1500,House,3,Neredmet,0,Carpet Area,Unknown,2,Unknown,Immediately,3,18000.0,0
18,Semi-Furnished,Bachelors/Family,1865,Apartment,3,Kondapur,4,Carpet Area,North-East,0,Main Road,From Mar '22,3,33000.0,2
19,Semi-Furnished,Family,1300,Apartment,3,Chandanagar,3,Carpet Area,North,2,Garden/Park,Immediately,3,20000.0,2
20,Unfurnished,Bachelors/Family,1200,House,2,Tarnaka,0,Carpet Area,Unknown,0,Unknown,Immediately,2,11000.0,0
21,Unfurnished,Bachelors,1000,House,2,CMC Enclave,1,Carpet Area,East,2,Garden/Park,Immediately,3,33000.0,2
22,Semi-Furnished,Bachelors/Family,1720,Apartment,3,Vasantha Nagar,1,Super Area,Unknown,0,Unknown,Immediately,3,25000.0,0
23,Semi-Furnished,Bachelors,4000,Villa,4,Hitech City,0,Super Area,East,2,Main Road,Immediately,4,100000.0,0
24,Unfurnished,Family,1400,Apartment,3,Quthbullapur,4,Carpet Area,North-East,2,Unknown,Immediately,3,16000.0,1
25,Unfurnished,Bachelors/Family,960,House,2,Tellapur,0,Carpet Area,North,1,Garden/Park,Immediately,1,9000.0,0
26,Furnished,Bachelors/Family,3000,Apartment,4,Ram Koti,1,Super Area,Unknown,0,Unknown,Immediately,4,55000.0,0
27,Unfurnished,Bachelors/Family,1800,House,3,Upparpally,2,Super Area,West,0,Garden/Park,Immediately,3,15000.0,0
28,Semi-Furnished,Bachelors,3131,Villa,5,Gundlapochampally,0,Super Area,West,2,Main Road,Immediately,5,30000.0,0
29,Semi-Furnished,Bachelors/Family,2500,Villa,5,Yapral,0,Carpet Area,East,2,Garden/Park,Immediately,5,35000.0,1
30,Semi-Furnished,Family,1510,Apartment,3,Mythri Nagar,4,Carpet Area,East,1,Garden/Park,Immediately,3,25000.0,1
31,Furnished,Bachelors,1050,Apartment,2,Narsingi,1,Carpet Area,East,1,Garden/Park,Immediately,2,25500.0,1
32,Unfurnished,Bachelors,900,Apartment,2,Jayabharathi gardens,2,Carpet Area,North,3,Garden/Park,Immediately,2,16000.0,2
33,Semi-Furnished,Bachelors/Family,2600,Apartment,3,Kokapet,14,Carpet Area,West,3,Garden/Park,Immediately,4,55000.0,2
34,Semi-Furnished,Family,1400,Apartment,3,Mallapur,1,Carpet Area,East,1,Main Road,Immediately,2,26000.0,1
35,Semi-Furnished,Family,2800,House,4,Pragathi Nagar,0,Carpet Area,North-East,1,Main Road,Immediately,4,29500.0,1
36,Unfurnished,Bachelors/Family,950,Apartment,2,Saidabad Colony,2,Super Area,East,1,Unknown,Immediately,2,9500.0,1
37,Unfurnished,Family,1280,Apartment,3,Bandam Kommu,1,Carpet Area,West,1,Garden/Park,Immediately,3,30000.0,2
38,Unfurnished,Bachelors,2200,Apartment,3,DD Colony,2,Carpet Area,North,3,Garden/Park,Immediately,3,27000.0,0
39,Semi-Furnished,Bachelors/Family,1000,Apartment,3,Balanagar,2,Carpet Area,East,2,Main Road,Immediately,2,10500.0,1
40,Furnished,Bachelors/Family,2400,House,3,Kachiguda,1,Super Area,North-East,3,Main Road,Immediately,3,32000.0,1
41,Unfurnished,Bachelors,1000,House,2,Chilka Nagar,0,Carpet Area,North-East,4,Unknown,Immediately,2,7500.0,0
42,Semi-Furnished,Bachelors/Family,2750,Apartment,3,Kokapet,2,Carpet Area,Unknown,3,Unknown,Immediately,4,45000.0,0
43,Unfurnished,Bachelors/Family,1450,Apartment,4,Serilingampally,3,Carpet Area,East,2,Unknown,Immediately,4,22000.0,0
44,Semi-Furnished,Family,900,Apartment,2,Masab Tank,1,Carpet Area,East,1,Main Road,Immediately,2,13000.0,1
45,Semi-Furnished,Bachelors/Family,1050,House,2,Rampally,0,Carpet Area,East,2,Main Road,Immediately,2,7500.0,0
46,Semi-Furnished,Family,800,Apartment,2,Lakdikapul,1,Carpet Area,South-East,1,Garden/Park,Immediately,2,13000.0,1
47,Semi-Furnished,Family,3380,Apartment,4,Narsingi,11,Super Area,West,2,Garden/Park,Immediately,4,65000.0,2
48,Semi-Furnished,Bachelors/Family,2410,Apartment,3,Gachibowli,9,Super Area,West,2,Garden/Park,Immediately,3,45000.0,2
49,Semi-Furnished,Bachelors/Family,1000,Apartment,2,Himayath Nagar,2,Carpet Area,North,0,Main Road,Immediately,2,20000.0,1
50,Semi-Furnished,Bachelors/Family,4500,House,4,Jubilee Hills,0,Carpet Area,North,4,Garden/Park,Immediately,6,250000.0,5
51,Semi-Furnished,Family,2395,Apartment,3,Phase 2,3,Carpet Area,West,1,Garden/Park,Immediately,3,90000.0,2
52,Unfurnished,Bachelors,3000,Apartment,3,Film Nagar,3,Carpet Area,East,3,Garden/Park,Immediately,3,90000.0,0
53,Unfurnished,Family,3545,Apartment,3,Banjara Hills,0,Carpet Area,West,1,Garden/Park,Immediately,4,180000.0,0
54,Furnished,Family,1500,Apartment,3,Chandanagar,10,Carpet Area,East,3,Garden/Park,Immediately,3,28000.0,1
55,Semi-Furnished,Bachelors,1590,Apartment,3,Kondapur,1,Super Area,North,1,Pool,Immediately,3,35000.0,0
56,Unfurnished,Bachelors/Family,1200,House,2,Saroornagar,1,Carpet Area,East,1,Unknown,Immediately,2,10500.0,0
57,Semi-Furnished,Bachelors,1435,Apartment,3,Narsingi,2,Carpet Area,North,2,Main Road,Immediately,3,21000.0,0
58,Semi-Furnished,Bachelors/Family,1625,Apartment,3,Miyapur,4,Carpet Area,East,2,Main Road,Immediately,2,24000.0,0
59,Unfurnished,Bachelors/Family,500,Apartment,1,Asif Nagar,3,Carpet Area,East,1,Unknown,Immediately,1,8500.0,1
60,Unfurnished,Family,1150,Apartment,3,Manikonda,3,Carpet Area,South-East,1,Garden/Park,Immediately,3,18000.0,0
61,Furnished,Bachelors/Family,3045,Apartment,4,Kokapet,1,Carpet Area,East,0,Unknown,Immediately,4,70000.0,0
62,Semi-Furnished,Bachelors/Family,1520,Apartment,3,Kokapet,1,Carpet Area,East,2,Garden/Park,Immediately,3,27000.0,1
63,Unfurnished,Bachelors/Family,1500,House,2,Ramchandrapuram Mandal,2,Carpet Area,East,2,Main Road,Immediately,2,13000.0,0
64,Unfurnished,Bachelors/Family,1645,Apartment,3,Financial District,5,Carpet Area,East,1,Garden/Park,Immediately,3,36000.0,2
65,Furnished,Bachelors,3600,Apartment,4,Kondapur,9,Super Area,West,2,Garden/Park,Immediately,4,65000.0,2
66,Furnished,Family,3395,Apartment,3,Gachibowli,5,Carpet Area,West,3,Garden/Park,Immediately,4,80000.0,2
67,Unfurnished,Bachelors,4200,Apartment,4,Gachibowli,10,Super Area,East,2,Garden/Park,Immediately,4,130000.0,0
68,Unfurnished,Family,1275,Apartment,2,Nanakram Guda,17,Carpet Area,East,1,Garden/Park,Immediately,2,30000.0,1
69,Semi-Furnished,Family,1500,Apartment,3,Hitech City,3,Carpet Area,East,1,Garden/Park,Immediately,3,35000.0,1
70,Unfurnished,Bachelors,2250,Apartment,3,Madhapur,3,Super Area,West,2,Pool,Immediately,3,40000.0,0
71,Semi-Furnished,Family,2595,Apartment,3,Hitech City,20,Super Area,West,1,Garden/Park,Immediately,3,100000.0,2
72,Unfurnished,Bachelors,900,Apartment,2,Gachibowli,6,Carpet Area,South,1,Garden/Park,Immediately,2,35000.0,0
73,Furnished,Bachelors/Family,11000,Unknown,0,Kondapur,4,Super Area,East,11,Main Road,Immediately,11,540000.0,8
