,Title,Amenities,Amount
0,3 BHK Apartment for Rent in Masjid Banda,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1318 sqftFloor1 out of 5facingWestoverlookingMain RoadBathroom3Balcony2,"₹18,000"
1,2 BHK Apartment for Rent in Hitech City,FurnishingUnfurnishedTenant PreferredFamilyAvailabilityImmediatelyCarpet Area1280 sqftFloor15 out of 18facingEastoverlookingGarden/ParkBathroom2Balcony1,"₹39,500"
2,"2 BHK Apartment for Rent in Kukatpally, NH 9",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area1135 sqftFloor1 out of 7facingSouth - EastBathroom2Balcony2,"₹23,000"
3,"2 BHK Apartment for Rent in Financial District, Nanakram Guda","FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area1585 sqftFloor9 out of 11facingWestoverlookingGarden/Park, PoolBathroom2Balcony2","₹35,000"
4,"4 BHK Villa for Rent in Gachibowli Phase 3, Outer Ring Road","FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking2 Covered, 2 OpenAvailabilityImmediatelyCarpet Area4541 sqftfacingNorth - EastoverlookingGarden/Park, Pool, Main RoadDimensions1 X 415 yrd SqyrdBathroom4Balcony2",₹2 Lac
5,"3 BHK Apartment for Rent in Narsingi, Outer Ring Road",FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1345 sqftFloor3 out of 5facingNorth - EastoverlookingGarden/ParkBathroom2Balcony1,"₹25,000"
6,2 BHK Apartment for Rent in Hitech City,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area900 sqftFloor8 out of 16facingEastoverlookingMain RoadOwnershipFreeholdBathroom2Balcony1,"₹25,000"
7,"2 BHK Penthouse for Rent in Banjara Hills, NH 9","FurnishingFurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1650 sqftFloor5 out of 5facingEastoverlookingGarden/Park, Main RoadBathroom3Balcony2","₹60,000"
8,3 BHK Apartment for Rent in Appa junction,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1413 sqftFloor18 out of 18facingWestoverlookingMain RoadBathroom3Balcony1,"₹23,000"
9,4 BHK Villa for Rent in Shamshabad,FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking1 OpenAvailabilityImmediatelyCarpet Area1750 sqftfacingEastoverlookingMain RoadBathroom3Balcony1,"₹20,000"
10,"4 BHK Villa for Rent in Narsingi, Outer Ring Road",FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area160 sqftfacingEastoverlookingMain RoadBathroom4Balcony3,"₹70,000"
11,3 BHK Apartment for Rent in Shaikpet,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area1100 sqftFloor4 out of 15Bathroom2,"₹19,000"
12,3 BHK Apartment for Rent in Sri Nagar Colony,FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area1530 sqftFloor2 out of 9facingNorthBathroom2Balcony2,"₹25,000"
13,"3 BHK Apartment for Rent in Raghavendra Nagar, Hayathnagar, NH 9",FurnishingUnfurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelySuper Area1625 sqftFloor5 out of 5Bathroom3Balcony1,"₹30,000"
14,"2 BHK Apartment for Rent in Madinaguda, Hafeezpet, NH 9",FurnishingFurnishedTenant PreferredBachelorsCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1000 sqftFloor3 out of 5facingEastBathroom2Balcony2,"₹17,000"
15,2 BHK Apartment for Rent in Nizampet,"FurnishingUnfurnishedTenant PreferredBachelorsCar Parking1 CoveredAvailabilityFrom Apr '22Super Area1259 sqftFloor5 out of 10facingEastoverlookingGarden/Park, Pool, Main RoadBathroom2Balcony1","₹17,000"
16,1 BHK House for Rent in Gandhinagar-Indira Park Road,"FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area800 sqftFloor4 out of 6facingWestoverlookingGarden/Park, Main RoadOwnershipFreeholdDimensions26 X 30 ft SqftBathroom1","₹10,000"
17,3 BHK House for Rent in Neredmet,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1500 sqftBathroom3Balcony2,"₹18,000"
